trial,elapsed_s,relink_iou_thresh,relink_dist_thresh,iou_match_threshold,lost_frames_before_gmm,gmm_max_lost,gmm_search_pad,gmm_min_blob_area,gmm_max_lifetime,gmm_history,gmm_var_threshold,gmm_downscale,conf_threshold,imgsz,fps_multiply,bg_subtractor,edge_margin,edge_search_pad,edge_kill_margin,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,proximity_thresh,appearance_thresh,with_reid,gmc_method,fuse_score,gt1_HOTA,gt1_MOTA,gt1_MOTP,gt1_IDF1,gt1_MT,gt1_ML,gt1_GT_tracks,gt1_TP,gt1_FP,gt1_FN,gt1_IDS,gt1_Frag,gt1_GT_dets,gt2_HOTA,gt2_MOTA,gt2_MOTP,gt2_IDF1,gt2_MT,gt2_ML,gt2_GT_tracks,gt2_TP,gt2_FP,gt2_FN,gt2_IDS,gt2_Frag,gt2_GT_dets,gt3_HOTA,gt3_MOTA,gt3_MOTP,gt3_IDF1,gt3_MT,gt3_ML,gt3_GT_tracks,gt3_TP,gt3_FP,gt3_FN,gt3_IDS,gt3_Frag,gt3_GT_dets,gt1_vec_angle_diff,gt1_vec_conf_gt,gt1_vec_conf_pred,gt1_vec_n_gt,gt1_vec_n_pred,gt2_vec_angle_diff,gt2_vec_conf_gt,gt2_vec_conf_pred,gt2_vec_n_gt,gt2_vec_n_pred,gt3_vec_angle_diff,gt3_vec_conf_gt,gt3_vec_conf_pred,gt3_vec_n_gt,gt3_vec_n_pred,avg_HOTA,avg_MOTA,avg_IDF1,avg_vec_angle_diff
278,248.0,0.1,220.0,0.35,3,20,100,10,20,100,16.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,70.98,43.88,65.5,70.47,0,7,13,1477,509,729,0,118,2206,61.0,33.17,69.68,56.83,0,4,9,734,179,936,1,48,1670,74.32,36.17,73.6,72.04,1,2,6,1765,987,383,1,33,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,68.77,37.74,66.45,11.02
435,260.9,0.1,160.0,0.35,3,20,100,10,60,400,8.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,71.15,43.38,65.23,70.89,1,7,13,1521,564,685,0,129,2206,58.47,24.79,69.47,53.76,0,4,9,729,313,941,2,53,1670,74.32,36.17,73.59,72.04,1,2,6,1765,987,383,1,33,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,67.98,34.78,65.56,11.02
496,260.7,0.2,160.0,0.1,3,20,100,25,60,400,8.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,71.21,43.34,65.21,70.96,1,7,13,1526,569,680,1,128,2206,59.72,27.96,69.4,55.39,0,3,9,745,275,925,3,52,1670,72.9,30.45,73.59,70.28,1,2,6,1765,1110,383,1,33,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,67.94,33.92,65.54,11.02
22,252.2,0.05,120.0,0.35,3,20,100,10,40,200,8.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,68.48,34.18,65.43,67.47,0,7,13,1504,748,702,2,127,2206,59.11,25.81,69.65,54.53,0,3,9,741,307,929,3,51,1670,74.2,35.75,73.58,71.92,1,2,6,1766,997,382,1,34,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,67.26,31.91,64.64,11.02
275,252.4,0.1,120.0,0.35,3,20,100,10,60,200,8.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,68.48,34.18,65.43,67.47,0,7,13,1504,748,702,2,127,2206,59.11,25.81,69.65,54.53,0,3,9,741,307,929,3,51,1670,74.2,35.75,73.58,71.92,1,2,6,1766,997,382,1,34,2148,11.02,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,67.26,31.91,64.64,11.02
20,249.5,0.05,80.0,0.2,0,20,140,10,60,100,8.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,59.46,-18.59,66.15,54.32,0,7,13,1554,1962,652,2,83,2206,53.07,-13.89,69.9,45.38,1,2,9,790,1022,880,0,33,1670,62.22,-27.75,73.59,56.53,1,1,6,1783,2377,365,2,30,2148,10.36,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,58.25,-20.08,52.08,10.36
225,250.3,0.2,120.0,0.1,0,20,140,10,60,100,8.0,0.5,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,59.46,-18.59,66.15,54.32,0,7,13,1554,1962,652,2,83,2206,53.07,-13.89,69.9,45.38,1,2,9,790,1022,880,0,33,1670,62.22,-27.7,73.59,56.54,1,1,6,1783,2376,365,2,30,2148,10.36,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,58.25,-20.06,52.08,10.36
253,447.1,0.1,120.0,0.2,0,20,100,25,60,400,8.0,1.0,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,62.28,-11.33,65.8,57.72,2,7,13,1676,1925,530,1,76,2206,55.36,-3.59,69.9,48.23,1,3,9,806,866,864,0,30,1670,63.07,-22.39,73.58,57.6,1,1,6,1785,2265,363,1,29,2148,9.54,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,60.24,-12.44,54.52,9.54
43,418.2,0.1,120.0,0.1,0,20,60,25,40,200,8.0,1.0,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,61.25,-13.64,65.98,56.66,0,7,13,1638,1938,568,1,87,2206,55.6,-4.43,70.0,48.28,1,2,9,814,888,856,0,24,1670,63.71,-17.83,73.64,58.46,1,1,6,1780,2162,368,1,30,2148,9.54,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,60.19,-11.97,54.47,9.54
124,417.8,0.1,120.0,0.2,0,20,100,50,60,200,8.0,1.0,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,61.81,-11.24,65.85,57.35,0,7,13,1649,1896,557,1,85,2206,55.31,-4.19,69.97,48.0,1,3,9,803,873,867,0,26,1670,63.07,-22.39,73.61,57.6,1,1,6,1785,2265,363,1,29,2148,9.54,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,60.06,-12.61,54.32,9.54
391,418.4,0.05,160.0,0.2,0,20,140,50,60,200,8.0,1.0,0.05,1280,1,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,61.83,-11.2,65.85,57.35,0,7,13,1649,1896,557,0,85,2206,55.11,-4.43,69.94,47.83,1,3,9,799,872,871,1,27,1670,63.01,-22.53,73.62,57.54,1,1,6,1782,2264,366,2,29,2148,9.54,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,59.98,-12.72,54.24,9.54
