trial,elapsed_s,conf_threshold,imgsz,relink_iou_thresh,relink_dist_thresh,gmm_max_lost,gmm_search_pad,gmm_min_blob_area,iou_match_threshold,fps_multiply,lost_frames_before_gmm,gmm_history,gmm_var_threshold,bg_subtractor,edge_margin,edge_search_pad,edge_kill_margin,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,proximity_thresh,appearance_thresh,with_reid,gmc_method,fuse_score,gt1_HOTA,gt1_MOTA,gt1_MOTP,gt1_IDF1,gt1_MT,gt1_ML,gt1_GT_tracks,gt1_TP,gt1_FP,gt1_FN,gt1_IDS,gt1_Frag,gt1_GT_dets,gt2_HOTA,gt2_MOTA,gt2_MOTP,gt2_IDF1,gt2_MT,gt2_ML,gt2_GT_tracks,gt2_TP,gt2_FP,gt2_FN,gt2_IDS,gt2_Frag,gt2_GT_dets,gt3_HOTA,gt3_MOTA,gt3_MOTP,gt3_IDF1,gt3_MT,gt3_ML,gt3_GT_tracks,gt3_TP,gt3_FP,gt3_FN,gt3_IDS,gt3_Frag,gt3_GT_dets,gt1_vec_angle_diff,gt1_vec_conf_gt,gt1_vec_conf_pred,gt1_vec_n_gt,gt1_vec_n_pred,gt2_vec_angle_diff,gt2_vec_conf_gt,gt2_vec_conf_pred,gt2_vec_n_gt,gt2_vec_n_pred,gt3_vec_angle_diff,gt3_vec_conf_gt,gt3_vec_conf_pred,gt3_vec_n_gt,gt3_vec_n_pred,avg_HOTA,avg_MOTA,avg_IDF1,avg_vec_angle_diff
1,265.5,0.7,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,0.0,0.0,0.0,0.0,0,13,13,0,0,2206,0,0,2206,0.0,0.0,0.0,0.0,0,9,9,0,0,1670,0,0,1670,85.71,72.25,78.39,85.11,1,4,6,1700,147,448,1,13,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,62.75,0.503,1.0,2,1,28.57,24.08,28.37,62.75
2,244.9,0.8,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,0.0,0.0,0.0,0.0,0,13,13,0,0,2206,0,0,2206,0.0,0.0,0.0,0.0,0,9,9,0,0,1670,0,0,1670,0.0,0.0,0.0,0.0,0,6,6,0,0,2148,0,0,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,,0.503,0.0,2,0,0.0,0.0,0.0,
3,287.9,0.4,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,59.84,29.19,66.42,55.05,0,8,13,956,311,1250,1,57,2206,56.93,28.38,66.55,50.9,1,4,9,619,143,1051,2,31,1670,87.8,76.16,77.6,87.77,1,0,6,1838,202,310,0,27,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,3.57,0.503,0.4664,2,2,68.19,44.58,64.57,3.57
4,279.9,0.5,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,44.06,14.42,64.64,35.04,0,11,13,509,190,1697,1,47,2206,50.29,20.06,64.84,42.32,1,4,9,489,152,1181,2,28,1670,87.38,75.23,77.71,87.29,1,0,6,1827,211,321,0,26,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,54.58,0.503,1.0,2,1,60.58,36.57,54.88,54.58
5,264.9,0.6,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,19.99,2.45,63.38,8.43,0,13,13,99,45,2107,0,10,2206,37.21,12.1,63.21,25.34,0,7,9,249,46,1421,1,11,1670,86.89,75.0,78.16,86.71,1,3,6,1749,137,399,1,23,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,59.42,0.503,1.0,2,1,48.03,29.85,40.16,59.42
6,304.4,0.05,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,70.55,44.33,66.28,68.29,0,8,13,1319,338,887,3,52,2206,59.71,30.36,67.01,54.55,1,4,9,696,186,974,3,33,1670,87.8,76.16,77.61,87.77,1,0,6,1838,202,310,0,27,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,3.57,0.503,0.4664,2,2,72.69,50.28,70.2,3.57
7,301.5,0.2,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,70.55,44.33,66.28,68.29,0,8,13,1319,338,887,3,52,2206,59.71,30.36,67.01,54.55,1,4,9,696,186,974,3,33,1670,87.8,76.16,77.61,87.77,1,0,6,1838,202,310,0,27,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,3.57,0.503,0.4664,2,2,72.69,50.28,70.2,3.57
8,296.1,0.1,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,70.55,44.33,66.28,68.29,0,8,13,1319,338,887,3,52,2206,59.71,30.36,67.01,54.55,1,4,9,696,186,974,3,33,1670,87.8,76.16,77.61,87.77,1,0,6,1838,202,310,0,27,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,3.57,0.503,0.4664,2,2,72.69,50.28,70.2,3.57
9,293.1,0.3,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,66.82,37.9,66.82,63.83,0,8,13,1207,369,999,2,58,2206,58.76,29.76,66.88,53.25,1,4,9,667,168,1003,2,32,1670,87.8,76.16,77.6,87.77,1,0,6,1838,202,310,0,27,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,3.57,0.503,0.4664,2,2,71.13,47.94,68.28,3.57
