trial,elapsed_s,conf_threshold,imgsz,relink_iou_thresh,relink_dist_thresh,gmm_max_lost,gmm_search_pad,gmm_min_blob_area,iou_match_threshold,fps_multiply,lost_frames_before_gmm,gmm_history,gmm_var_threshold,bg_subtractor,edge_margin,edge_search_pad,edge_kill_margin,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,proximity_thresh,appearance_thresh,with_reid,gmc_method,fuse_score,gt1_HOTA,gt1_MOTA,gt1_MOTP,gt1_IDF1,gt1_MT,gt1_ML,gt1_GT_tracks,gt1_TP,gt1_FP,gt1_FN,gt1_IDS,gt1_Frag,gt1_GT_dets,gt2_HOTA,gt2_MOTA,gt2_MOTP,gt2_IDF1,gt2_MT,gt2_ML,gt2_GT_tracks,gt2_TP,gt2_FP,gt2_FN,gt2_IDS,gt2_Frag,gt2_GT_dets,gt3_HOTA,gt3_MOTA,gt3_MOTP,gt3_IDF1,gt3_MT,gt3_ML,gt3_GT_tracks,gt3_TP,gt3_FP,gt3_FN,gt3_IDS,gt3_Frag,gt3_GT_dets,gt1_vec_angle_diff,gt1_vec_conf_gt,gt1_vec_conf_pred,gt1_vec_n_gt,gt1_vec_n_pred,gt2_vec_angle_diff,gt2_vec_conf_gt,gt2_vec_conf_pred,gt2_vec_n_gt,gt2_vec_n_pred,gt3_vec_angle_diff,gt3_vec_conf_gt,gt3_vec_conf_pred,gt3_vec_n_gt,gt3_vec_n_pred,avg_HOTA,avg_MOTA,avg_IDF1,avg_vec_angle_diff
1,339.7,0.7,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,9.0,-0.09,69.2,1.69,0,13,13,19,21,2187,0,1,2206,0.0,0.0,0.0,0.0,0,9,9,0,0,1670,0,0,1670,85.04,70.67,74.14,84.31,1,4,6,1693,175,455,0,13,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,,0.503,0.0,2,0,31.35,23.53,28.67,
2,311.2,0.8,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,0.0,0.0,0.0,0.0,0,13,13,0,0,2206,0,0,2206,0.0,0.0,0.0,0.0,0,9,9,0,0,1670,0,0,1670,0.0,0.0,0.0,0.0,0,6,6,0,0,2148,0,0,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,,0.503,0.0,2,0,0.0,0.0,0.0,
3,358.1,0.4,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,67.42,37.67,65.08,64.35,0,7,13,1240,408,966,1,53,2206,59.9,29.4,67.55,54.45,1,2,9,704,212,966,1,29,1670,84.91,69.79,73.95,84.55,1,1,6,1776,277,372,0,28,2148,11.0,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,70.74,45.62,67.78,11.0
4,369.4,0.5,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,64.21,35.54,64.98,60.45,0,7,13,1086,301,1120,1,54,2206,58.53,26.71,67.74,52.63,1,2,9,680,234,990,0,29,1670,85.57,71.32,74.09,85.06,1,3,6,1754,222,394,0,19,2148,4.8,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,69.44,44.52,66.05,4.8
5,345.4,0.6,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,50.35,21.44,64.88,42.44,0,10,13,639,166,1567,0,40,2206,49.48,19.88,67.77,40.76,1,5,9,460,127,1210,1,20,1670,85.39,70.86,74.03,84.86,1,3,6,1755,233,393,0,19,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,,0.503,0.0,2,0,61.74,37.39,56.02,
6,362.3,0.05,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,69.63,40.53,64.55,67.27,0,7,13,1347,452,859,1,60,2206,61.52,30.96,67.23,57.07,1,2,9,765,246,905,2,40,1670,85.67,71.6,73.92,85.36,1,1,6,1776,237,372,1,25,2148,11.0,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,72.27,47.7,69.9,11.0
7,362.1,0.2,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,69.63,40.53,64.55,67.27,0,7,13,1347,452,859,1,60,2206,61.52,30.96,67.23,57.07,1,2,9,765,246,905,2,40,1670,85.67,71.6,73.92,85.36,1,1,6,1776,237,372,1,25,2148,11.0,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,72.27,47.7,69.9,11.0
8,362.3,0.1,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,69.63,40.53,64.55,67.27,0,7,13,1347,452,859,1,60,2206,61.52,30.96,67.23,57.07,1,2,9,765,246,905,2,40,1670,85.67,71.6,73.92,85.36,1,1,6,1776,237,372,1,25,2148,11.0,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,72.27,47.7,69.9,11.0
9,360.7,0.3,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,68.89,39.8,65.04,66.16,0,7,13,1297,418,909,1,53,2206,60.57,29.46,67.43,55.43,1,2,9,732,239,938,1,32,1670,85.67,71.6,73.92,85.36,1,1,6,1776,237,372,1,25,2148,11.0,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,71.71,46.95,68.98,11.0
