trial,elapsed_s,conf_threshold,imgsz,relink_iou_thresh,relink_dist_thresh,gmm_max_lost,gmm_search_pad,gmm_min_blob_area,iou_match_threshold,fps_multiply,lost_frames_before_gmm,gmm_history,gmm_var_threshold,bg_subtractor,edge_margin,edge_search_pad,edge_kill_margin,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,proximity_thresh,appearance_thresh,with_reid,gmc_method,fuse_score,gt1_HOTA,gt1_MOTA,gt1_MOTP,gt1_IDF1,gt1_MT,gt1_ML,gt1_GT_tracks,gt1_TP,gt1_FP,gt1_FN,gt1_IDS,gt1_Frag,gt1_GT_dets,gt2_HOTA,gt2_MOTA,gt2_MOTP,gt2_IDF1,gt2_MT,gt2_ML,gt2_GT_tracks,gt2_TP,gt2_FP,gt2_FN,gt2_IDS,gt2_Frag,gt2_GT_dets,gt3_HOTA,gt3_MOTA,gt3_MOTP,gt3_IDF1,gt3_MT,gt3_ML,gt3_GT_tracks,gt3_TP,gt3_FP,gt3_FN,gt3_IDS,gt3_Frag,gt3_GT_dets,gt1_vec_angle_diff,gt1_vec_conf_gt,gt1_vec_conf_pred,gt1_vec_n_gt,gt1_vec_n_pred,gt2_vec_angle_diff,gt2_vec_conf_gt,gt2_vec_conf_pred,gt2_vec_n_gt,gt2_vec_n_pred,gt3_vec_angle_diff,gt3_vec_conf_gt,gt3_vec_conf_pred,gt3_vec_n_gt,gt3_vec_n_pred,avg_HOTA,avg_MOTA,avg_IDF1,avg_vec_angle_diff
1,577.8,0.7,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,33.66,-1.95,58.21,22.16,0,12,13,320,362,1886,1,31,2206,26.61,-5.33,57.71,15.24,0,6,9,158,246,1512,1,25,1670,79.46,59.08,61.67,78.49,1,3,6,1604,335,544,0,37,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,52.07,0.503,1.0,2,1,46.58,17.27,38.63,52.07
2,549.5,0.8,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,0.0,0.0,0.0,0.0,0,13,13,0,0,2206,0,0,2206,0.0,0.0,0.0,0.0,0,9,9,0,0,1670,0,0,1670,12.27,-0.79,55.33,3.13,0,6,6,35,52,2113,0,2,2148,,1.0,0.0,1,0,,1.0,0.0,1,0,,0.503,0.0,2,0,4.09,-0.26,1.04,
3,596.3,0.4,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,55.22,0.5,58.77,50.27,0,6,13,1109,1097,1097,1,111,2206,32.37,-20.96,57.61,22.8,0,4,9,298,646,1372,2,66,1670,77.63,53.96,61.73,77.03,1,0,6,1650,486,498,5,60,2148,8.94,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,55.07,11.17,50.03,8.94
4,594.2,0.5,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,53.18,-1.81,58.58,47.75,0,7,13,1026,1065,1180,1,111,2206,32.07,-19.76,57.79,22.24,0,4,9,286,616,1384,0,62,1670,77.98,54.56,61.73,77.15,1,0,6,1646,473,502,1,53,2148,8.7,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,54.41,11.0,49.05,8.7
5,589.2,0.6,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,47.56,-5.62,58.52,40.17,0,10,13,782,905,1424,1,86,2206,28.9,-18.74,57.77,18.77,0,5,9,229,541,1441,1,54,1670,78.45,56.56,61.74,77.64,1,1,6,1618,402,530,1,49,2148,8.75,1.0,1.0,1,1,,1.0,0.0,1,0,59.64,0.503,1.0,2,1,51.64,10.73,45.53,34.2
6,612.3,0.05,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,38.59,-161.24,59.13,28.13,0,6,13,1128,4685,1078,0,112,2206,23.28,-207.66,57.15,12.36,0,4,9,362,3824,1308,6,72,1670,72.2,34.82,61.76,70.29,1,0,6,1650,897,498,5,60,2148,10.65,1.0,1.0,1,1,131.83,1.0,1.0,1,1,,0.503,0.0,2,0,44.69,-111.36,36.93,71.24
7,609.4,0.2,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,38.59,-161.24,59.13,28.13,0,6,13,1128,4685,1078,0,112,2206,23.28,-207.66,57.15,12.36,0,4,9,362,3824,1308,6,72,1670,72.2,34.82,61.76,70.29,1,0,6,1650,897,498,5,60,2148,10.65,1.0,1.0,1,1,131.83,1.0,1.0,1,1,,0.503,0.0,2,0,44.69,-111.36,36.93,71.24
8,610.8,0.1,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,38.59,-161.24,59.13,28.13,0,6,13,1128,4685,1078,0,112,2206,23.28,-207.66,57.15,12.36,0,4,9,362,3824,1308,6,72,1670,72.2,34.82,61.76,70.29,1,0,6,1650,897,498,5,60,2148,10.65,1.0,1.0,1,1,131.83,1.0,1.0,1,1,,0.503,0.0,2,0,44.69,-111.36,36.93,71.24
9,603.8,0.3,1280,0.05,140,20,120,10,0.3,1,1,200,16,MOG2,40,50,60,0.1,0.01,0.2,30,0.8,0.4,0.1,False,sparseOptFlow,True,49.0,-41.8,58.99,41.9,0,6,13,1128,2050,1078,0,117,2206,31.64,-58.68,57.57,21.81,0,4,9,369,1345,1301,4,78,1670,76.64,50.93,61.75,75.89,1,0,6,1651,552,497,5,63,2148,10.65,1.0,1.0,1,1,,1.0,0.0,1,0,,0.503,0.0,2,0,52.43,-16.52,46.53,10.65
